*header,File_Name,Attachment,Region,DHW_LpY,DHW_GJpY,DHW_energy_src,NN_DHW_System_Efficiency,AL_GJpY,AL-Dryer_GJpY,AL-Stove-Other_GJpY,stove_fuel_use,dryer_fuel_used,Clothes_Dryer,Rural_Suburb_Urban,Num_of_Adults,Num_of_Children,Employment_Ratio,HDD,Ground_Temp
*data,2401A00023.HDF,1-SD,1-AT,56801,21.10,3,0.53,30.15,1.97,28.18,2,2,4,3,1,0,1,4617.7,7.9
*data,2401A00030.HDF,1-SD,1-AT,67284,25.79,3,0.53,29.81,1.52,28.29,2,2,6,1,1,0,1,4881.5,6.4
*data,2401A00032.HDF,1-SD,1-AT,80758,19.91,1,0.824,28.25,0.00,28.25,2,2,0,3,1,1,0,4881.5,6.4
*data,2401A00034.HDF,1-SD,1-AT,59260,14.61,1,0.824,24.32,1.28,23.04,2,2,4,3,2,0,1,4881.5,6.4
*data,2401A00040.HDF,1-SD,1-AT,75604,25.64,3,0.53,47.26,5.38,41.88,2,2,4,2,1,0,0,4715.3,12
*data,2401A00043.HDF,1-SD,1-AT,66906,22.69,3,0.53,42.37,1.48,40.89,2,2,4,2,2,0,1,4715.3,12
*data,2401A00046.HDF,1-SD,1-AT,90573,22.33,1,0.824,45.65,2.85,42.80,2,2,4,1,2,0,1,4881.5,6.4
*data,2401A00049.HDF,1-SD,1-AT,94995,23.42,1,0.824,37.76,3.28,34.48,2,2,4,2,1,0,1,4881.5,6.4
*data,2401A00054.HDF,1-SD,1-AT,106230,26.19,1,0.824,31.41,2.86,28.55,2,2,4,1,2,2,1,4881.5,6.4
*data,2401A00058.HDF,1-SD,1-AT,61351,22.79,3,0.53,32.20,2.84,29.36,2,2,4,3,1,0,0,4030.8,7.9
*data,2401A00061.HDF,1-SD,1-AT,72605,17.90,1,0.824,26.13,0.67,25.46,2,2,4,1,2,2,1,4899.4,6.4
*data,2401A00063.HDF,1-SD,1-AT,81244,20.03,1,0.824,46.90,0.92,45.98,2,2,1.5,1,2,0,1,4899.4,6.4
*data,2401A00080.HDF,1-SD,1-AT,76424,18.26,1,0.824,22.70,1.34,21.36,2,2,6,3,2,0,0.5,4030.8,7.9
*data,2401A00099.HDF,1-SD,1-AT,103837,25.60,1,0.824,37.81,1.18,36.63,2,2,1.5,2,3,1,0.33,4899.4,6.4
*data,2401A00101.HDF,1-SD,1-AT,90006,22.19,1,0.824,30.68,3.02,27.66,2,2,4,2,2,2,1,4899.4,6.4
