*header,Filename,GJ,kWh
*data,2409A00013.HDF.No-Dryer,36.88,10244
*data,2409A00042.HDF,36.53,10148
*data,2409A00042.HDF.No-Dryer,35.72,9923
*data,2409A00055.HDF,51.27,14241
*data,2409A00055.HDF.No-Dryer,46.65,12958
*data,2409A00056.HDF,32.67,9075
*data,2409A00056.HDF.No-Dryer,28.93,8035
*data,2410A00002.HDF,34.25,9513
*data,2410A00002.HDF.No-Dryer,31.37,8715
*data,2410A00004.HDF,22.33,6204
*data,2410A00004.HDF.No-Dryer,21.61,6003
*data,2410A00024.HDF,39.19,10885
*data,2410A00024.HDF.No-Dryer,37.86,10517
*data,2410A00030.HDF,22.56,6266
*data,2410A00030.HDF.No-Dryer,21.01,5837
*data,2410A00031.HDF,25.20,7000
*data,2410A00031.HDF.No-Dryer,26.02,7229
*data,2410A00032.HDF,22.38,6216
*data,2410A00032.HDF.No-Dryer,22.38,6216
*data,2410A00040.HDF,64.99,18052
*data,2410A00040.HDF.No-Dryer,63.22,17561
*data,2410A00045.HDF,57.86,16072
*data,2410A00045.HDF.No-Dryer,51.98,14439
*data,2410A00046.HDF,34.59,9609
*data,2410A00046.HDF.No-Dryer,34.00,9444
*data,2410A00048.HDF,34.36,9544
*data,2410A00048.HDF.No-Dryer,29.58,8217
*data,2410A00051.HDF,33.61,9336
*data,2410A00051.HDF.No-Dryer,33.02,9172
*data,2410A00059.HDF,38.98,10827
*data,2410A00059.HDF.No-Dryer,34.28,9521
*data,2410A00061.HDF,32.78,9105
*data,2410A00061.HDF.No-Dryer,30.95,8598
*data,2410A00062.HDF,39.66,11015
*data,2410A00062.HDF.No-Dryer,35.15,9763
*data,2410A00120.HDF,17.46,4850
*data,2410A00120.HDF.No-Dryer,17.05,4736
*data,2410A00123.HDF,34.41,9560
*data,2410A00123.HDF.No-Dryer,30.34,8429
*data,2410A00125.HDF,20.54,5707
*data,2410A00125.HDF.No-Dryer,20.21,5615
*data,2411A00005.HDF,33.27,9241
*data,2411A00005.HDF.No-Dryer,30.19,8387
*data,2411A00015.HDF,42.88,11912
*data,2411A00015.HDF.No-Dryer,40.09,11135
*data,2411A00046.HDF,38.74,10760
*data,2411A00046.HDF.No-Dryer,33.72,9368
*data,2411A00060.HDF,24.90,6917
*data,2411A00060.HDF.No-Dryer,23.05,6403
*data,2411A00064.HDF,33.50,9306
*data,2411A00064.HDF.No-Dryer,32.63,9063
*data,2411A00079.HDF,40.80,11333
*data,2411A00079.HDF.No-Dryer,35.63,9897
