"Contribution of windows to cooling load (W)","<summary_variable>building/zone_03/envelope/windows/heat_gain</summary_variable>"
"Contribution of windows to heating load (W)","<summary_variable>building/zone_03/envelope/windows/heat_loss</summary_variable>"
"Contribution of windows to net heat flux (W)","<summary_variable>building/zone_03/envelope/windows/net_flux</summary_variable>"
"Solar gains admitted through glazing that increase cooling loads (W)","<summary_variable>building/zone_03/insolation/adverse</summary_variable>"
"Solar gains admitted through glazing  (W)","<summary_variable>building/zone_03/insolation/total</summary_variable>"
"Solar gains admitted through glazing that supplant heating loads (W)","<summary_variable>building/zone_03/insolation/useful</summary_variable>"
"Internal heat gains(convective + radiant) that increase cooling loads (W)","<summary_variable>building/zone_03/internal_gains/adverse</summary_variable>"
"Internal heat gains(convective + radiant) (W)","<summary_variable>building/zone_03/internal_gains/total</summary_variable>"
"Internal heat gains(convective + radiant) that supplant heating loads (W)","<summary_variable>building/zone_03/internal_gains/useful</summary_variable>"
"Zone net heat extraction  (W)","<summary_variable>building/zone_03/supplied_energy/cooling</summary_variable>"
"Zone net heat injection  (W)","<summary_variable>building/zone_03/supplied_energy/heating</summary_variable>"
"Zone net heat injection/extraction  (W)","<summary_variable>building/zone_03/supplied_energy/net</summary_variable>"
"Ambient radiant temperature for exterior surface (oC)","<summary_variable>building/zone_03/surface_01/AmbRT</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_03/surface_01/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_03/surface_01/HCi</summary_variable>"
"Temperature on exterior face (oC)","<summary_variable>building/zone_03/surface_01/ext_surf_temperature</summary_variable>"
"Heat transfer through building envelope (above-grade) (W)","<summary_variable>building/zone_03/surface_01/heat_flux/above_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_03/surface_01/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_03/surface_01/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_03/surface_01/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_03/surface_01/temperature</summary_variable>"
"Ambient radiant temperature for exterior surface (oC)","<summary_variable>building/zone_03/surface_02/AmbRT</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_03/surface_02/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_03/surface_02/HCi</summary_variable>"
